Generation	Pokedex#	Name	Category	Type 1	Type 2	Ability 1	Ability 2	Ability 3	MaleRatio	FemaleRatio	Height (m)	Weight (kg)	EggGroup 1	EggGroup 2	HP	Attack	Defense	Sp.Attack	Sp.Defense	Speed	Total	Group
1	65	Alakazam	Psi Pokemon	Psychic	None	Magic Guard	Synchronize	Inner Focus	75	25	1.5	48.0	Human-Like	None	55	50	65	175	105	150	600	Ordinary
1	66	Machop	Superpower Pokemon	Fighting	None	Steadfast	Guts	No Guard	75	25	0.8	19.5	Human-Like	None	70	80	50	35	35	35	305	Ordinary
1	67	Machoke	Superpower Pokemon	Fighting	None	Steadfast	Guts	No Guard	75	25	1.5	70.5	Human-Like	None	80	100	70	50	60	45	405	Ordinary
1	68	Machamp	Superpower Pokemon	Fighting	None	Steadfast	Guts	No Guard	75	25	1.6	130.0	Human-Like	None	90	130	80	65	85	55	505	Ordinary
1	69	Bellsprout	Flower Pokemon	Grass	Poison	Chlorophyll	Gluttony	None	50	50	0.7	4.0	Grass	None	50	75	35	70	30	40	300	Ordinary
1	70	Weepinbell	Flycatcher Pokemon	Grass	Poison	Chlorophyll	Gluttony	None	50	50	1.0	6.4	Grass	None	65	90	50	85	45	55	390	Ordinary
1	71	Victreebel	Flycatcher Pokemon	Grass	Poison	Chlorophyll	Gluttony	None	50	50	1.7	15.5	Grass	None	80	105	65	100	70	70	490	Ordinary
1	72	Tentacool	Jellyfish Pokemon	Water	Poison	Clear Body	Liquid Ooze	Rain Dish	50	50	0.9	45.5	Water 3	None	40	40	35	50	100	70	335	Ordinary
1	73	Tentacruel	Jellyfish Pokemon	Water	Poison	Clear Body	Liquid Ooze	Rain Dish	50	50	1.6	55.0	Water 3	None	80	70	65	80	120	100	515	Ordinary
7	74	Alolan Geodude	Rock Pokemon	Rock	Electric	Magnet Pull	Galvanize	Sturdy	50	50	0.4	20.0	Mineral	None	40	80	100	30	30	20	300	Ordinary
1	74	Geodude	Rock Pokemon	Rock	Ground	Sand Veil	Sturdy	Rock Head	50	50	0.4	20.0	Mineral	None	40	80	100	30	30	20	300	Ordinary
7	75	Alolan Graveler	Rock Pokemon	Rock	Electric	Magnet Pull	Galvanize	Sturdy	50	50	1.0	105.0	Mineral	None	55	95	115	45	45	35	390	Ordinary
1	75	Graveler	Rock Pokemon	Rock	Ground	Sand Veil	Sturdy	Rock Head	50	50	1.0	105.0	Mineral	None	55	95	115	45	45	35	390	Ordinary
1	76	Golem	Megaton Pokemon	Rock	Ground	Sand Veil	Sturdy	Rock Head	50	50	1.4	300.0	Mineral	None	80	120	130	55	65	45	495	Ordinary
7	76	Alolan Golem	Megaton Pokemon	Rock	Electric	Magnet Pull	Galvanize	Sturdy	50	50	1.4	300.0	Mineral	None	80	120	130	55	65	45	495	Ordinary
1	77	Ponyta	Fire Horse Pokemon	Fire	None	Run Away	Flame Body	Flash Fire	50	50	1.0	30.0	Field	None	50	85	55	65	65	90	410	Ordinary
1	78	Rapidash	Fire Horse Pokemon	Fire	None	Run Away	Flame Body	Flash Fire	50	50	1.7	95.0	Field	None	65	100	70	80	80	105	500	Ordinary
1	79	Slowpoke	Dopey Pokemon	Water	Psychic	Own Tempo	Oblivious	Regenerator	50	50	1.2	36.0	Monster	Water 1	90	65	65	40	40	15	315	Ordinary
1	80	Slowbro	Hermit Crab Pokemon	Water	Psychic	Own Tempo	Oblivious	Regenerator	50	50	1.6	78.5	Monster	Water 1	95	75	110	100	80	30	490	Ordinary
6	80	Mega Slowbro	Hermit Crab Pokemon	Water	Psychic	Shell Armor	None	None	50	50	1.6	78.5	Monster	Water 1	95	75	180	130	80	30	590	Ordinary
1	81	Magnemite	Magnet Pokemon	Electric	Steel	Magnet Pull	Analytic	Sturdy	0	0	0.3	6.0	Mineral	None	25	35	70	95	55	45	325	Ordinary
1	82	Magneton	Magnet Pokemon	Electric	Steel	Magnet Pull	Analytic	Sturdy	0	0	1.0	60.0	Mineral	None	50	60	95	120	70	70	465	Ordinary
1	83	Farfetch'd	Wild Duck Pokemon	Normal	Flying	Keen Eye	Defiant	Inner Focus	50	50	0.8	15.0	Field	Flying	52	90	55	58	62	60	377	Ordinary
1	84	Doduo	Twin Bird Pokemon	Normal	Flying	Run Away	Early Bird	Tangled Feet	50	50	1.4	39.2	Flying	None	35	85	45	35	35	75	310	Ordinary
1	85	Dodrio	Triple Bird Pokemon	Normal	Flying	Run Away	Early Bird	Tangled Feet	50	50	1.8	85.2	Flying	None	60	110	70	60	60	110	470	Ordinary
1	86	Seel	Sea Lion Pokemon	Water	None	Hydration	Thick Fat	Ice Body	50	50	1.1	90.0	Field	Water 1	65	45	55	45	70	45	325	Ordinary
1	87	Dewgong	Sea Lion Pokemon	Water	Ice	Hydration	Thick Fat	Ice Body	50	50	1.7	120.0	Field	Water 1	90	70	80	70	95	70	475	Ordinary
1	88	Grimer	Sludge Pokemon	Poison	None	Stench	Sticky Hold	Poison Touch	50	50	0.9	30.0	Amorphous	None	80	80	50	40	50	25	325	Ordinary
7	88	Alolan Grimer	Sludge Pokemon	Poison	Dark	Power of Alchemy	Poison Touch	Gluttony	50	50	0.9	30.0	Amorphous	None	80	80	50	40	50	25	325	Ordinary
1	89	Muk	Sludge Pokemon	Poison	None	Stench	Sticky Hold	Poison Touch	50	50	1.2	30.0	Amorphous	None	105	105	75	65	100	50	500	Ordinary
7	89	Alolan Muk	Sludge Pokemon	Poison	Dark	Power of Alchemy	Poison Touch	Gluttony	50	50	1.2	30.0	Amorphous	None	105	105	75	65	100	50	500	Ordinary
1	90	Shellder	Bivalve Pokemon	Water	None	Skill Link	Overcoat	Shell Armor	50	50	0.3	4.0	Water 3	None	30	65	100	45	25	40	305	Ordinary
1	91	Cloyster	Bivalve Pokemon	Water	Ice	Skill Link	Overcoat	Shell Armor	50	50	1.5	132.5	Water 3	None	50	95	180	85	45	70	525	Ordinary
1	92	Gastly	Gas Pokemon	Ghost	Poison	Levitate	None	None	50	50	1.3	0.1	Amorphous	None	30	35	30	100	35	80	310	Ordinary
1	93	Haunter	Gas Pokemon	Ghost	Poison	Levitate	None	None	50	50	1.6	0.1	Amorphous	None	45	50	45	115	55	95	405	Ordinary
1	94	Gengar	Shadow Pokemon	Ghost	Poison	Cursed Body	None	None	50	50	1.5	40.5	Amorphous	None	60	65	60	130	75	110	500	Ordinary
6	94	Mega Gengar	Shadow Pokemon	Ghost	Poison	Shadow Tag	None	None	50	50	1.5	40.5	Amorphous	None	60	65	80	170	95	130	600	Ordinary
1	95	Onix	Rock Snake Pokemon	Rock	Ground	Weak Armor	Sturdy	Rock Head	50	50	8.8	210.0	Mineral	None	35	45	160	30	45	70	385	Ordinary
1	96	Drowzee	Hypnosis Pokemon	Psychic	None	Insomnia	Forewarn	Inner Focus	50	50	1.0	32.4	Human-Like	None	60	48	45	43	90	42	328	Ordinary
1	97	Hypno	Hypnosis Pokemon	Psychic	None	Insomnia	Forewarn	Inner Focus	50	50	1.6	75.6	Human-Like	None	85	73	70	73	115	67	483	Ordinary
1	98	Krabby	River Crab Pokemon	Water	None	Hyper Cutter	Sheer Force	Shell Armor	50	50	0.4	6.5	Water 3	None	30	105	90	25	25	50	325	Ordinary
1	99	Kingler	Pincer Pokemon	Water	None	Hyper Cutter	Sheer Force	Shell Armor	50	50	1.3	60.0	Water 3	None	55	130	115	50	50	75	475	Ordinary
1	100	Voltorb	Ball Pokemon	Electric	None	Soundproof	Aftermath	Static	0	0	0.5	10.4	Mineral	None	40	30	50	55	55	100	330	Ordinary
1	101	Electrode	Ball Pokemon	Electric	None	Soundproof	Aftermath	Static	0	0	1.2	66.6	Mineral	None	60	50	70	80	80	150	490	Ordinary
1	102	Exeggcute	Egg Pokemon	Grass	Psychic	Chlorophyll	Harvest	None	50	50	0.4	2.5	Grass	None	60	40	80	60	45	40	325	Ordinary
1	103	Exeggutor	Coconut Pokemon	Grass	Psychic	Chlorophyll	Harvest	None	50	50	2.0	120.0	Grass	None	95	105	85	125	75	45	530	Ordinary
7	103	Alolan Exeggutor	Coconut Pokemon	Grass	Dragon	Frisk	None	None	50	50	2.0	120.0	Grass	None	95	105	85	125	75	45	530	Ordinary
1	104	Cubone	Lonely Pokemon	Ground	None	Battle Armor	Rock Head	Lightning Rod	50	50	0.4	6.5	Monster	None	50	50	95	40	50	35	320	Ordinary
1	105	Marowak	Bone Keeper Pokemon	Ground	None	Battle Armor	Rock Head	Lightning Rod	50	50	1.0	45.0	Monster	None	60	80	110	50	80	45	425	Ordinary
7	105	Alolan Marowak	Bone Keeper Pokemon	Fire	Ghost	Cursed Body	Rock Head	Lightning Rod	50	50	1.0	45.0	Monster	None	60	80	110	50	80	45	425	Ordinary
1	106	Hitmonlee	Kicking Pokemon	Fighting	None	Limber	Unburden	Reckless	100	0	1.5	49.8	Human-Like	None	50	120	53	35	110	87	455	Ordinary
1	107	Hitmonchan	Punching Pokemon	Fighting	None	Keen Eye	Iron Fist	Inner Focus	100	0	1.4	50.2	Human-Like	None	50	105	79	35	110	76	455	Ordinary
1	108	Lickitung	Licking Pokemon	Normal	None	Own Tempo	Cloud Nine	Oblivious	50	50	1.2	65.5	Monster	None	90	55	75	60	75	30	385	Ordinary
1	109	Koffing	Poison Gas Pokemon	Poison	None	Levitate	None	None	50	50	0.6	1.0	Amorphous	None	40	65	95	60	45	35	340	Ordinary
1	110	Weezing	Poison Gas Pokemon	Poison	None	Levitate	None	None	50	50	1.2	9.5	Amorphous	None	65	90	120	85	70	60	490	Ordinary
1	111	Rhyhorn	Spikes Pokemon	Ground	Rock	Rock Head	Lightning Rod	Reckless	50	50	1.0	115.0	Field	Monster	80	85	95	30	30	25	345	Ordinary
1	112	Rhydon	Drill Pokemon	Ground	Rock	Rock Head	Lightning Rod	Reckless	50	50	1.9	120.0	Field	Monster	105	130	120	45	45	40	485	Ordinary
1	113	Chansey	Egg Pokemon	Normal	None	Serene Grace	Natural Cure	Healer	0	100	1.1	34.6	Fairy	None	250	5	5	35	105	50	450	Ordinary
1	114	Tangela	Vine Pokemon	Grass	None	Chlorophyll	Regenerator	Leaf Guard	50	50	1.0	35.0	Grass	None	65	55	115	100	40	60	435	Ordinary
6	115	Mega Kangaskhan	Parent Pokemon	Normal	None	Parental Bond	None	None	0	100	2.2	80.0	Monster	None	105	125	100	60	100	100	590	Ordinary
1	115	Kangaskhan	Parent Pokemon	Normal	None	Scrappy	Early Bird	Inner Focus	0	100	2.2	80.0	Monster	None	105	95	80	40	80	90	490	Ordinary
1	116	Horsea	Dragon Pokemon	Water	None	Damp	Swift Swim	Sniper	50	50	0.4	8.0	Water 1	Dragon	30	40	70	70	25	60	295	Ordinary
1	117	Seadra	Dragon Pokemon	Water	None	Damp	Poison Point	Sniper	50	50	1.2	25.0	Water 1	Dragon	55	65	95	95	45	85	440	Ordinary
1	118	Goldeen	Goldfish Pokemon	Water	None	Swift Swim	Water Veil	Lightning Rod	50	50	0.6	15.0	Water 2	None	45	67	60	35	50	63	320	Ordinary
1	119	Seaking	Goldfish Pokemon	Water	None	Swift Swim	Water Veil	Lightning Rod	50	50	1.3	39.0	Water 2	None	80	92	65	65	80	68	450	Ordinary
1	120	Staryu	Star Shape Pokemon	Water	None	Analytic	Natural Cure	Illuminate	0	0	0.8	34.5	Water 3	None	30	45	55	70	55	85	340	Ordinary
1	121	Starmie	Mysterious Pokemon	Water	Psychic	Analytic	Natural Cure	Illuminate	0	0	1.1	80.0	Water 3	None	60	75	85	100	85	115	520	Ordinary
1	122	Mr. Mime	Barrier Pokemon	Psychic	Fairy	Soundproof	Technician	Filter	50	50	1.3	54.5	Human-Like	None	40	45	65	100	120	90	460	Ordinary
1	123	Scyther	Mantis Pokemon	Bug	Flying	Swarm	Technician	Steadfast	50	50	1.5	56.0	Bug	None	70	110	80	55	80	105	500	Ordinary
1	124	Jynx	Human Shape Pokemon	Ice	Psychic	Oblivious	Forewarn	Dry Skin	0	100	1.4	40.6	Human-Like	None	65	50	35	115	95	95	455	Ordinary
1	125	Electabuzz	Electric Pokemon	Electric	None	Vital Spirit	Static	None	75	25	1.1	30.0	Human-Like	None	65	83	57	95	85	105	490	Ordinary
1	126	Magmar	Spitfire Pokemon	Fire	None	Vital Spirit	Flame Body	None	75	25	1.3	44.5	Human-Like	None	65	95	57	100	85	93	495	Ordinary
6	127	Mega Pinsir	Stag Beetle Pokemon	Bug	Flying	Aerilate	None	None	50	50	1.5	55.0	Bug	None	65	155	120	65	90	105	600	Ordinary
1	127	Pinsir	Stag Beetle Pokemon	Bug	None	Mold Breaker	Moxie	Hyper Cutter	50	50	1.5	55.0	Bug	None	65	125	100	55	70	85	500	Ordinary
1	128	Tauros	Wild Bull Pokemon	Normal	None	Intimidate	Sheer Force	Anger Point	100	0	1.4	88.4	Field	None	75	100	95	40	70	110	490	Ordinary
1	129	Magikarp	Fish Pokemon	Water	None	Rattled	Swift Swim	None	50	50	0.9	10.0	Dragon	Water 2	20	10	55	15	20	80	200	Ordinary
1	130	Gyarados	Atrocious Pokemon	Water	Flying	Intimidate	Moxie	None	50	50	6.5	235.0	Dragon	Water 2	95	125	79	60	100	81	540	Ordinary
6	130	Mega Gyarados	Atrocious Pokemon	Water	Dark	Mold Breaker	None	None	50	50	6.5	235.0	Dragon	Water 2	95	155	109	70	130	81	640	Ordinary
1	131	Lapras	Transport Pokemon	Water	Ice	Hydration	Water Absorb	Shell Armor	50	50	2.5	220.0	Monster	Water 1	130	85	80	85	95	60	535	Ordinary
1	132	Ditto	Transform Pokemon	Normal	None	Limber	Imposter	None	0	0	0.3	4.0	Ditto	None	48	48	48	48	48	48	288	Ordinary
