Generation	Pokedex#	Name	Category	Types	Abilities	MaleRatio	FemaleRatio	Height	Weight	EggGroups	HP	Attack	Defense	Sp.Attack	Sp.Defense	Speed	Movesets
1	12	Butterfree	Butterfly Pokémon	[Bug, Flying]	[Compound Eyes, Tinted Lens]	50%	50%	1.1 m	32.0 kg	[Bug]	60	45	50	90	80	70	0
1	13	Weedle	Hairy Bug Pokémon	[Bug, Poison]	[Run Away, Shield Dust]	50%	50%	0.3 m	3.2 kg	[Bug]	40	35	30	20	20	50	0
1	14	Kakuna	Cocoon Pokémon	[Bug, Poison]	[Shed Skin]	50%	50%	0.6 m	10.0 kg	[Bug]	45	25	50	25	25	35	0
6	15	Mega Beedrill	Poison Bee Pokémon	[Bug, Poison]	[Adaptability]	50%	50%	1.0 m	29.5 kg	[Bug]	65	150	40	15	80	145	0
1	15	Beedrill	Poison Bee Pokémon	[Bug, Poison]	[Swarm, Sniper]	50%	50%	1.0 m	29.5 kg	[Bug]	65	150	40	15	80	145	0
1	16	Pidgey	Tiny Bird Pokémon	[Normal, Flying]	[Keen Eye, Big Pecks, Tangled Feet]	50%	50%	0.3 m	1.8 kg	[Flying]	40	45	40	35	35	56	0
1	17	Pidgeotto	Bird Pokémon	[Normal, Flying]	[Keen Eye, Big Pecks, Tangled Feet]	50%	50%	1.1 m	30.0 kg	[Flying]	63	60	55	50	50	71	0
6	18	Mega Pidgeot	Bird Pokémon	[Normal, Flying]	[No Guard]	50%	50%	1.5 m	39.5 kg	[Flying]	83	80	80	135	80	121	0
1	18	Pidgeot	Bird Pokémon	[Normal, Flying]	[Keen Eye, Big Pecks, Tangled Feet]	50%	50%	1.5 m	39.5 kg	[Flying]	83	80	80	135	80	121	0
1	19	Rattata	Mouse Pokémon	[Normal, Unknown]	[Run Away, Hustle, Guts]	50%	50%	0.3 m	3.5 kg	[Field]	30	56	35	25	35	72	0
7	19	Alolan Rattata	Mouse Pokémon	[Dark, Normal]	[Hustle, Thick Fat, Gluttony]	50%	50%	0.3 m	3.5 kg	[Field]	30	56	35	25	35	72	0
1	20	Raticate	Mouse Pokémon	[Normal, Unknown]	[Run Away, Hustle, Guts]	50%	50%	0.7 m	18.5 kg	[Field]	55	81	60	50	70	97	0
7	20	Alolan Raticate	Mouse Pokémon	[Dark, Normal]	[Hustle, Thick Fat, Gluttony]	50%	50%	0.7 m	18.5 kg	[Field]	75	71	70	40	80	77	0
1	21	Spearow	Tiny Bird Pokémon	[Normal, Flying]	[Keen Eye, Sniper]	50%	50%	0.3 m	2.0 kg	[Flying]	40	60	30	31	31	70	0
1	22	Fearow	Beak Pokémon	[Normal, Flying]	[Keen Eye, Sniper]	50%	50%	1.2 m	38.0 kg	[Flying]	65	90	65	61	61	100	0
1	23	Ekans	Snake Pokémon	[Poison, Unknown]	[Intimidate, Unnerve, Shed Skin]	50%	50%	2.0 m	6.9 kg	[Field, Dragon]	35	60	44	40	54	55	0
1	24	Arbok	Cobra Pokémon	[Poison, Unknown]	[Intimidate, Unnerve, Shed Skin]	50%	50%	3.5 m	65.0 kg	[Field, Dragon]	60	95	69	65	79	80	0
1	25	Pikachu	Mouse Pokémon	[Electric, Unknown]	[Static, Lightning Rod]	50%	50%	0.4 m	6.0 kg	[Field, Fairy]	35	55	40	50	50	90	0
1	25	Cosplay Pikachu	Mouse Pokémon	[Electric, Unknown]	[Lightning Rod]	50%	50%	0.4 m	6.0 kg	[Field, Fairy]	35	55	40	50	50	90	0
1	25	Cap Pikachu	Mouse Pokémon	[Electric, Unknown]	[Static, Lightning Rod]	50%	50%	0.4 m	6.0 kg	[Field, Fairy]	35	55	40	50	50	90	0
1	26	Raichu	Mouse Pokémon	[Electric, Unknown]	[Static, Lightning Rod]	50%	50%	0.8 m	30.0 kg	[Field, Fairy]	60	85	50	95	85	110	0
7	26	Alolan Raichu	Mouse Pokémon	[Electric, Psychic]	[Surge Surfer]	50%	50%	0.8 m	30.0 kg	[Field, Fairy]	60	85	50	95	85	110	0
1	27	Sandshrew	Mouse Pokémon	[Ground, Unknown]	[Sand Veil, Sand Rush]	50%	50%	0.6 m	12.0 kg	[Field]	50	75	85	20	30	40	0
7	27	Alolan Sandshrew	Mouse Pokémon	[Ice, Steel]	[Slush Rush, Snow Cloak]	50%	50%	0.6 m	12.0 kg	[Field]	50	75	90	10	35	40	0
1	28	Sandslash	Mouse Pokémon	[Ground, Unknown]	[Sand Veil, Sand Rush]	50%	50%	1.0 m	29.5 kg	[Field]	75	100	110	45	55	65	0
7	28	Alolan Sandslash	Mouse Pokémon	[Ice, Steel]	[Slush Rush, Snow Cloak]	50%	50%	1.0 m	29.5 kg	[Field]	75	100	120	25	65	65	0
1	29	Nidoran♀	Poison Pin Pokémon	[Poison, Unknown]	[Hustle, Poison Point, Rivalry]	0%	100%	0.4 m	7.0 kg	[Field, Monster]	55	47	52	40	40	41	0
1	30	Nidorina	Poison Pin Pokémon	[Poison, Unknown]	[Hustle, Poison Point, Rivalry]	0%	100%	0.8 m	20.0 kg	[Undiscovered]	70	62	67	55	55	56	0
1	31	Nidoqueen	Drill Pokémon	[Poison, Ground]	[Poison Point, Rivalry, Sheer Force]	0%	100%	1.3 m	60.0 kg	[Undiscovered]	90	92	87	75	85	76	0
1	32	Nidoran♂	Poison Pin Pokémon	[Poison, Unknown]	[Hustle, Poison Point, Rivalry]	100%	0%	0.5 m	9.0 kg	[Field, Monster]	46	57	40	40	40	50	0
1	33	Nidorino	Poison Pin Pokémon	[Poison, Unknown]	[Hustle, Poison Point, Rivalry]	100%	0%	0.9 m	19.5 kg	[Field, Monster]	61	72	57	55	55	65	0
1	34	Nidoking	Drill Pokémon	[Poison, Ground]	[Poison Point, Rivalry, Sheer Force]	100%	0%	1.4 m	62.0 kg	[Field, Monster]	81	102	77	85	75	85	0
1	35	Clefairy	Fairy Pokémon	[Fairy, Unknown]	[Cute Charm, Magic Guard, Friend Guard]	25%	75%	0.6 m	7.5 kg	[Fairy]	70	45	48	60	65	35	0
1	36	Clefable	Fairy Pokémon	[Fairy, Unknown]	[Unaware, Cute Charm, Magic Guard]	25%	75%	1.3 m	40.0 kg	[Fairy]	95	70	73	95	90	60	0
1	37	Vulpix	Fox Pokémon	[Fire, Unknown]	[Flash Fire, Drought]	25%	75%	0.6 m	9.9 kg	[Field]	38	41	40	50	65	65	0
7	37	Alolan Vulpix	Fox Pokémon	[Ice, Unknown]	[Snow Warning, Snow Cloak]	25%	75%	0.6 m	9.9 kg	[Field]	38	41	40	50	65	65	0
1	38	Ninetales	Fox Pokémon	[Fire, Unknown]	[Flash Fire, Drought]	25%	75%	1.1 m	19.9 kg	[Field]	73	76	75	81	100	100	0
7	38	Alolan Ninetales	Fox Pokémon	[Ice, Fairy]	[Snow Warning, Snow Cloak]	25%	75%	1.1 m	19.9 kg	[Field]	73	67	75	81	100	109	0
1	39	Jigglypuff	Balloon Pokémon	[Normal, Fairy]	[Competitive, Cute Charm, Friend Guard]	25%	75%	0.5 m	5.5 kg	[Fairy]	115	45	20	45	25	20	0
1	40	Wigglytuff	Balloon Pokémon	[Normal, Fairy]	[Competitive, Cute Charm, Frisk]	25%	75%	1.0 m	12.0 kg	[Fairy]	140	70	45	85	50	45	0
1	41	Zubat	Bat Pokémon	[Poison, Flying]	[Infiltrator, Inner Focus]	50%	50%	0.8 m	7.5 kg	[Flying]	40	45	35	30	40	55	0
1	42	Golbat	Bat Pokémon	[Poison, Flying]	[Infiltrator, Inner Focus]	50%	50%	1.6 m	55.0 kg	[Flying]	75	80	70	65	75	90	0
1	43	Oddish	Weed Pokémon	[Grass, Poison]	[Chlorophyll, Run Away]	50%	50%	0.5 m	5.4 kg	[Grass]	45	50	55	75	65	30	0
1	44	Gloom	Weed Pokémon	[Grass, Poison]	[Chlorophyll, Stench]	50%	50%	0.8 m	8.6 kg	[Grass]	60	65	70	85	75	40	0
1	45	Vileplume	Flower Pokémon	[Grass, Poison]	[Chlorophyll, Effect Spore]	50%	50%	1.2 m	18.6 kg	[Grass]	75	80	85	110	90	50	0
1	46	Paras	Mushroom Pokémon	[Bug, Grass]	[Damp, Dry Skin, Effect Spore]	50%	50%	0.3 m	5.4 kg	[Bug, Grass]	35	70	55	45	55	25	0
1	47	Parasect	Mushroom Pokémon	[Bug, Grass]	[Damp, Dry Skin, Effect Spore]	50%	50%	1.0 m	29.5 kg	[Bug, Grass]	60	95	80	60	80	30	0
1	48	Venonat	Insect Pokémon	[Bug, Poison]	[Run Away, Compound Eyes, Tinted Lens]	50%	50%	1.0 m	30.0 kg	[Bug]	60	55	50	40	55	45	0
1	49	Venomoth	Poison Moth Pokémon	[Bug, Poison]	[Shield Dust, Wonder Skin, Tinted Lens]	50%	50%	1.5 m	12.5 kg	[Bug]	70	65	60	90	75	90	0
1	50	Diglett	Mole Pokémon	[Ground, Unknown]	[Sand Veil, Arena Trap, Sand Force]	50%	50%	0.2 m	0.8 kg	[Field]	10	55	25	35	45	95	0
7	50	Alolan Diglett	Mole Pokémon	[Ground, Steel]	[Sand Veil, Tangling Hair]	50%	50%	0.2 m	0.8 kg	[Field]	10	55	30	35	45	90	0
7	51	Alolan Dugtrio	Mole Pokémon	[Ground, Steel]	[Sand Veil, Tangling Hair]	50%	50%	0.7 m	33.3 kg	[Field]	35	100	60	50	70	110	0
1	51	Dugtrio	Mole Pokémon	[Ground, Unknown]	[Sand Veil, Arena Trap, Sand Force]	50%	50%	0.7 m	33.3 kg	[Field]	35	100	60	50	70	110	0
7	52	Alolan Meowth	Scratch Cat Pokémon	[Dark, Unknown]	[Rattled, Technician, Pickup]	50%	50%	0.4 m	4.2 kg	[Field]	40	35	35	50	40	90	0
1	52	Meowth	Scratch Cat Pokémon	[Normal, Unknown]	[Technician, Pickup, Unnerve]	50%	50%	0.4 m	4.2 kg	[Field]	40	45	35	40	40	90	0
7	53	Alolan Persian	Classy Cat Pokémon	[Dark, Unknown]	[Rattled, Technician, Fur Coat]	50%	50%	1.0 m	32.0 kg	[Field]	65	60	60	75	65	115	0
1	53	Persian	Classy Cat Pokémon	[Normal, Unknown]	[Technician, Limber, Unnerve]	50%	50%	1.0 m	32.0 kg	[Field]	65	70	60	65	65	115	0
1	54	Psyduck	Duck Pokémon	[Water, Unknown]	[Damp, Cloud Nine, Swift Swim]	50%	50%	0.8 m	19.6 kg	[Field, Water 1]	50	52	48	65	50	55	0
1	55	Golduck	Duck Pokémon	[Water, Unknown]	[Damp, Cloud Nine, Swift Swim]	50%	50%	1.7 m	76.6 kg	[Field, Water 1]	80	82	78	95	80	85	0
1	56	Mankey	Pig Monkey Pokémon	[Fighting, Unknown]	[Vital Spirit, Anger Point, Defiant]	50%	50%	0.5 m	28.0 kg	[Field]	40	80	35	35	45	70	0
1	57	Primeape	Pig Monkey Pokémon	[Fighting, Unknown]	[Vital Spirit, Anger Point, Defiant]	50%	50%	1.0 m	32.0 kg	[Field]	65	105	60	60	70	95	0
1	58	Growlithe	Puppy Pokémon	[Fire, Unknown]	[Intimidate, Flash Fire, Justified]	75%	25%	0.7 m	19.0 kg	[Field]	55	70	45	70	50	60	0
1	59	Arcanine	Legendary Pokémon	[Fire, Unknown]	[Intimidate, Flash Fire, Justified]	75%	25%	1.9 m	155.0 kg	[Field]	90	110	80	100	80	95	0
1	60	Poliwag	Tadpole Pokémon	[Water, Unknown]	[Damp, Water Absorb, Swift Swim]	50%	50%	0.6 m	12.4 kg	[Water 1]	40	50	40	40	40	90	0
1	61	Poliwhirl	Tadpole Pokémon	[Water, Unknown]	[Damp, Water Absorb, Swift Swim]	50%	50%	1.0 m	20.0 kg	[Water 1]	65	65	65	50	50	90	0
1	62	Poliwrath	Tadpole Pokémon	[Water, Fighting]	[Damp, Water Absorb, Swift Swim]	50%	50%	1.3 m	54.0 kg	[Water 1]	90	95	95	70	90	70	0
1	63	Abra	Psi Pokémon	[Psychic, Unknown]	[Magic Guard, Synchronize, Inner Focus]	75%	25%	0.9 m	19.5 kg	[Human-Like]	25	20	15	105	55	90	0
1	64	Kadabra	Psi Pokémon	[Psychic, Unknown]	[Magic Guard, Synchronize, Inner Focus]	75%	25%	1.3 m	56.5 kg	[Human-Like]	40	35	30	120	70	105	0
6	65	Mega Alakazam	Psi Pokémon	[Psychic, Unknown]	[Trace]	75%	25%	1.5 m	48.0 kg	[Human-Like]	55	50	65	175	105	150	0
1	65	Alakazam	Psi Pokémon	[Psychic, Unknown]	[Magic Guard, Synchronize, Inner Focus]	75%	25%	1.5 m	48.0 kg	[Human-Like]	55	50	65	175	105	150	0
1	66	Machop	Superpower Pokémon	[Fighting, Unknown]	[Steadfast, Guts, No Guard]	75%	25%	0.8 m	19.5 kg	[Human-Like]	70	80	50	35	35	35	0
1	67	Machoke	Superpower Pokémon	[Fighting, Unknown]	[Steadfast, Guts, No Guard]	75%	25%	1.5 m	70.5 kg	[Human-Like]	80	100	70	50	60	45	0
1	68	Machamp	Superpower Pokémon	[Fighting, Unknown]	[Steadfast, Guts, No Guard]	75%	25%	1.6 m	130.0 kg	[Human-Like]	90	130	80	65	85	55	0
1	69	Bellsprout	Flower Pokémon	[Grass, Poison]	[Chlorophyll, Gluttony]	50%	50%	0.7 m	4.0 kg	[Grass]	50	75	35	70	30	40	0
1	70	Weepinbell	Flycatcher Pokémon	[Grass, Poison]	[Chlorophyll, Gluttony]	50%	50%	1.0 m	6.4 kg	[Grass]	65	90	50	85	45	55	0
1	71	Victreebel	Flycatcher Pokémon	[Grass, Poison]	[Chlorophyll, Gluttony]	50%	50%	1.7 m	15.5 kg	[Grass]	80	105	65	100	70	70	0
1	72	Tentacool	Jellyfish Pokémon	[Water, Poison]	[Clear Body, Liquid Ooze, Rain Dish]	50%	50%	0.9 m	45.5 kg	[Water 3]	40	40	35	50	100	70	0
1	73	Tentacruel	Jellyfish Pokémon	[Water, Poison]	[Clear Body, Liquid Ooze, Rain Dish]	50%	50%	1.6 m	55.0 kg	[Water 3]	80	70	65	80	120	100	0
7	74	Alolan Geodude	Rock Pokémon	[Rock, Electric]	[Magnet Pull, Galvanize, Sturdy]	50%	50%	0.4 m	20.0 kg	[Mineral]	40	80	100	30	30	20	0
1	74	Geodude	Rock Pokémon	[Rock, Ground]	[Sand Veil, Sturdy, Rock Head]	50%	50%	0.4 m	20.0 kg	[Mineral]	40	80	100	30	30	20	0
7	75	Alolan Graveler	Rock Pokémon	[Rock, Electric]	[Magnet Pull, Galvanize, Sturdy]	50%	50%	1.0 m	105.0 kg	[Mineral]	55	95	115	45	45	35	0
1	75	Graveler	Rock Pokémon	[Rock, Ground]	[Sand Veil, Sturdy, Rock Head]	50%	50%	1.0 m	105.0 kg	[Mineral]	55	95	115	45	45	35	0
1	76	Golem	Megaton Pokémon	[Rock, Ground]	[Sand Veil, Sturdy, Rock Head]	50%	50%	1.4 m	300.0 kg	[Mineral]	80	120	130	55	65	45	0
7	76	Alolan Golem	Megaton Pokémon	[Rock, Electric]	[Magnet Pull, Galvanize, Sturdy]	50%	50%	1.4 m	300.0 kg	[Mineral]	80	120	130	55	65	45	0
1	77	Ponyta	Fire Horse Pokémon	[Fire, Unknown]	[Run Away, Flame Body, Flash Fire]	50%	50%	1.0 m	30.0 kg	[Field]	50	85	55	65	65	90	0
1	78	Rapidash	Fire Horse Pokémon	[Fire, Unknown]	[Run Away, Flame Body, Flash Fire]	50%	50%	1.7 m	95.0 kg	[Field]	65	100	70	80	80	105	0
1	79	Slowpoke	Dopey Pokémon	[Water, Psychic]	[Own Tempo, Oblivious, Regenerator]	50%	50%	1.2 m	36.0 kg	[Monster, Water 1]	90	65	65	40	40	15	0
1	80	Slowbro	Hermit Crab Pokémon	[Water, Psychic]	[Own Tempo, Oblivious, Regenerator]	50%	50%	1.6 m	78.5 kg	[Monster, Water 1]	95	75	110	100	80	30	0
6	80	Mega Slowbro	Hermit Crab Pokémon	[Water, Psychic]	[Shell Armor]	50%	50%	1.6 m	78.5 kg	[Monster, Water 1]	95	75	180	130	80	30	0
1	81	Magnemite	Magnet Pokémon	[Electric, Steel]	[Magnet Pull, Analytic, Sturdy]	0%	0%	0.3 m	6.0 kg	[Mineral]	25	35	70	95	55	45	0
1	82	Magneton	Magnet Pokémon	[Electric, Steel]	[Magnet Pull, Analytic, Sturdy]	0%	0%	1.0 m	60.0 kg	[Mineral]	50	60	95	120	70	70	0
1	83	Farfetch'd	Wild Duck Pokémon	[Normal, Flying]	[Keen Eye, Defiant, Inner Focus]	50%	50%	0.8 m	15.0 kg	[Field, Flying]	52	90	55	58	62	60	0
1	84	Doduo	Twin Bird Pokémon	[Normal, Flying]	[Run Away, Early Bird, Tangled Feet]	50%	50%	1.4 m	39.2 kg	[Flying]	35	85	45	35	35	75	0
1	85	Dodrio	Triple Bird Pokémon	[Normal, Flying]	[Run Away, Early Bird, Tangled Feet]	50%	50%	1.8 m	85.2 kg	[Flying]	60	110	70	60	60	110	0
1	86	Seel	Sea Lion Pokémon	[Water, Unknown]	[Hydration, Thick Fat, Ice Body]	50%	50%	1.1 m	90.0 kg	[Field, Water 1]	65	45	55	45	70	45	0
1	87	Dewgong	Sea Lion Pokémon	[Water, Ice]	[Hydration, Thick Fat, Ice Body]	50%	50%	1.7 m	120.0 kg	[Field, Water 1]	90	70	80	70	95	70	0
1	88	Grimer	Sludge Pokémon	[Poison, Unknown]	[Stench, Sticky Hold, Poison Touch]	50%	50%	0.9 m	30.0 kg	[Amorphous]	80	80	50	40	50	25	0
7	88	Alolan Grimer	Sludge Pokémon	[Poison, Dark]	[Power of Alchemy, Poison Touch, Gluttony]	50%	50%	0.9 m	30.0 kg	[Amorphous]	80	80	50	40	50	25	0
1	89	Muk	Sludge Pokémon	[Poison, Unknown]	[Stench, Sticky Hold, Poison Touch]	50%	50%	1.2 m	30.0 kg	[Amorphous]	105	105	75	65	100	50	0
7	89	Alolan Muk	Sludge Pokémon	[Poison, Dark]	[Power of Alchemy, Poison Touch, Gluttony]	50%	50%	1.2 m	30.0 kg	[Amorphous]	105	105	75	65	100	50	0
1	90	Shellder	Bivalve Pokémon	[Water, Unknown]	[Skill Link, Overcoat, Shell Armor]	50%	50%	0.3 m	4.0 kg	[Water 3]	30	65	100	45	25	40	0
1	91	Cloyster	Bivalve Pokémon	[Water, Ice]	[Skill Link, Overcoat, Shell Armor]	50%	50%	1.5 m	132.5 kg	[Water 3]	50	95	180	85	45	70	0
1	92	Gastly	Gas Pokémon	[Ghost, Poison]	[Levitate]	50%	50%	1.3 m	0.1 kg	[Amorphous]	30	35	30	100	35	80	0
1	93	Haunter	Gas Pokémon	[Ghost, Poison]	[Levitate]	50%	50%	1.6 m	0.1 kg	[Amorphous]	45	50	45	115	55	95	0
1	94	Gengar	Shadow Pokémon	[Ghost, Poison]	[Cursed Body]	50%	50%	1.5 m	40.5 kg	[Amorphous]	60	65	60	130	75	110	0
6	94	Mega Gengar	Shadow Pokémon	[Ghost, Poison]	[Shadow Tag]	50%	50%	1.5 m	40.5 kg	[Amorphous]	60	65	80	170	95	130	0
1	95	Onix	Rock Snake Pokémon	[Rock, Ground]	[Weak Armor, Sturdy, Rock Head]	50%	50%	8.8 m	210.0 kg	[Mineral]	35	45	160	30	45	70	0
1	96	Drowzee	Hypnosis Pokémon	[Psychic, Unknown]	[Insomnia, Forewarn, Inner Focus]	50%	50%	1.0 m	32.4 kg	[Human-Like]	60	48	45	43	90	42	0
1	97	Hypno	Hypnosis Pokémon	[Psychic, Unknown]	[Insomnia, Forewarn, Inner Focus]	50%	50%	1.6 m	75.6 kg	[Human-Like]	85	73	70	73	115	67	0
1	98	Krabby	River Crab Pokémon	[Water, Unknown]	[Hyper Cutter, Sheer Force, Shell Armor]	50%	50%	0.4 m	6.5 kg	[Water 3]	30	105	90	25	25	50	0
1	99	Kingler	Pincer Pokémon	[Water, Unknown]	[Hyper Cutter, Sheer Force, Shell Armor]	50%	50%	1.3 m	60.0 kg	[Water 3]	55	130	115	50	50	75	0
1	100	Voltorb	Ball Pokémon	[Electric, Unknown]	[Soundproof, Aftermath, Static]	0%	0%	0.5 m	10.4 kg	[Mineral]	40	30	50	55	55	100	0
1	101	Electrode	Ball Pokémon	[Electric, Unknown]	[Soundproof, Aftermath, Static]	0%	0%	1.2 m	66.6 kg	[Mineral]	60	50	70	80	80	150	0
1	102	Exeggcute	Egg Pokémon	[Grass, Psychic]	[Chlorophyll, Harvest]	50%	50%	0.4 m	2.5 kg	[Grass]	60	40	80	60	45	40	0
1	103	Exeggutor	Coconut Pokémon	[Grass, Psychic]	[Chlorophyll, Harvest]	50%	50%	2.0 m	120.0 kg	[Grass]	95	105	85	125	75	45	0
7	103	Alolan Exeggutor	Coconut Pokémon	[Grass, Dragon]	[Frisk]	50%	50%	2.0 m	120.0 kg	[Grass]	95	105	85	125	75	45	0
1	104	Cubone	Lonely Pokémon	[Ground, Unknown]	[Battle Armor, Rock Head, Lightning Rod]	50%	50%	0.4 m	6.5 kg	[Monster]	50	50	95	40	50	35	0
1	105	Marowak	Bone Keeper Pokémon	[Ground, Unknown]	[Battle Armor, Rock Head, Lightning Rod]	50%	50%	1.0 m	45.0 kg	[Monster]	60	80	110	50	80	45	0
7	105	Alolan Marowak	Bone Keeper Pokémon	[Fire, Ghost]	[Cursed Body, Rock Head, Lightning Rod]	50%	50%	1.0 m	45.0 kg	[Monster]	60	80	110	50	80	45	0
1	106	Hitmonlee	Kicking Pokémon	[Fighting, Unknown]	[Limber, Unburden, Reckless]	100%	0%	1.5 m	49.8 kg	[Human-Like]	50	120	53	35	110	87	0
1	107	Hitmonchan	Punching Pokémon	[Fighting, Unknown]	[Keen Eye, Iron Fist, Inner Focus]	100%	0%	1.4 m	50.2 kg	[Human-Like]	50	105	79	35	110	76	0
1	108	Lickitung	Licking Pokémon	[Normal, Unknown]	[Own Tempo, Cloud Nine, Oblivious]	50%	50%	1.2 m	65.5 kg	[Monster]	90	55	75	60	75	30	0
1	109	Koffing	Poison Gas Pokémon	[Poison, Unknown]	[Levitate]	50%	50%	0.6 m	1.0 kg	[Amorphous]	40	65	95	60	45	35	0
1	110	Weezing	Poison Gas Pokémon	[Poison, Unknown]	[Levitate]	50%	50%	1.2 m	9.5 kg	[Amorphous]	65	90	120	85	70	60	0
1	111	Rhyhorn	Spikes Pokémon	[Ground, Rock]	[Rock Head, Lightning Rod, Reckless]	50%	50%	1.0 m	115.0 kg	[Field, Monster]	80	85	95	30	30	25	0
1	112	Rhydon	Drill Pokémon	[Ground, Rock]	[Rock Head, Lightning Rod, Reckless]	50%	50%	1.9 m	120.0 kg	[Field, Monster]	105	130	120	45	45	40	0
1	113	Chansey	Egg Pokémon	[Normal, Unknown]	[Serene Grace, Natural Cure, Healer]	0%	100%	1.1 m	34.6 kg	[Fairy]	250	5	5	35	105	50	0
1	114	Tangela	Vine Pokémon	[Grass, Unknown]	[Chlorophyll, Regenerator, Leaf Guard]	50%	50%	1.0 m	35.0 kg	[Grass]	65	55	115	100	40	60	0
6	115	Mega Kangaskhan	Parent Pokémon	[Normal, Unknown]	[Parental Bond]	0%	100%	2.2 m	80.0 kg	[Monster]	105	125	100	60	100	100	0
1	115	Kangaskhan	Parent Pokémon	[Normal, Unknown]	[Scrappy, Early Bird, Inner Focus]	0%	100%	2.2 m	80.0 kg	[Monster]	105	95	80	40	80	90	0
1	116	Horsea	Dragon Pokémon	[Water, Unknown]	[Damp, Swift Swim, Sniper]	50%	50%	0.4 m	8.0 kg	[Water 1, Dragon]	30	40	70	70	25	60	0
1	117	Seadra	Dragon Pokémon	[Water, Unknown]	[Damp, Poison Point, Sniper]	50%	50%	1.2 m	25.0 kg	[Water 1, Dragon]	55	65	95	95	45	85	0
1	118	Goldeen	Goldfish Pokémon	[Water, Unknown]	[Swift Swim, Water Veil, Lightning Rod]	50%	50%	0.6 m	15.0 kg	[Water 2]	45	67	60	35	50	63	0
1	119	Seaking	Goldfish Pokémon	[Water, Unknown]	[Swift Swim, Water Veil, Lightning Rod]	50%	50%	1.3 m	39.0 kg	[Water 2]	80	92	65	65	80	68	0
1	120	Staryu	Star Shape Pokémon	[Water, Unknown]	[Analytic, Natural Cure, Illuminate]	0%	0%	0.8 m	34.5 kg	[Water 3]	30	45	55	70	55	85	0
1	121	Starmie	Mysterious Pokémon	[Water, Psychic]	[Analytic, Natural Cure, Illuminate]	0%	0%	1.1 m	80.0 kg	[Water 3]	60	75	85	100	85	115	0
1	122	Mr. Mime	Barrier Pokémon	[Psychic, Fairy]	[Soundproof, Technician, Filter]	50%	50%	1.3 m	54.5 kg	[Human-Like]	40	45	65	100	120	90	0
1	123	Scyther	Mantis Pokémon	[Bug, Flying]	[Swarm, Technician, Steadfast]	50%	50%	1.5 m	56.0 kg	[Bug]	70	110	80	55	80	105	0
1	124	Jynx	Human Shape Pokémon	[Ice, Psychic]	[Oblivious, Forewarn, Dry Skin]	0%	100%	1.4 m	40.6 kg	[Human-Like]	65	50	35	115	95	95	0
